,State Name,Year,Defining Parameter,AQI,Latitude,Longitude
10202,Washington,1992,CO,44.651408450704224,47.04775043192488,-121.27370802758216
10203,Washington,1992,Ozone,44.67832167832168,47.559407,-121.65633343356645
10204,Washington,1992,PM10,30.613569321533923,46.795054292035395,-120.48326678072762
10205,Washington,1992,PM2.5,50.333333333333336,47.14000000000001,-122.3003
10206,Washington,1992,SO2,49.09820193637621,47.856101225449514,-122.6103785892116
10207,Washington,1993,CO,40.770983213429254,47.07696226079137,-121.30370220083934
10208,Washington,1993,Ozone,35.859375,47.295402515625,-121.81848905312499
10209,Washington,1993,PM10,33.74,46.74758114761905,-120.2882826
10210,Washington,1993,PM2.5,30.081632653061224,46.70849417346938,-121.5495043877551
10211,Washington,1993,SO2,39.06959706959707,47.84016714725275,-122.62776227106227
10212,Washington,1994,CO,36.61065088757397,47.084163672189355,-121.45059040473373
10213,Washington,1994,Ozone,39.86063829787234,47.03388571595745,-121.66855882978724
10214,Washington,1994,PM10,27.458911419423693,46.713148542155814,-120.09956539487726
10215,Washington,1994,PM2.5,21.114864864864863,46.902345189189184,-121.49210693243245
10216,Washington,1994,SO2,44.23813169984686,47.9182424762634,-122.5391581875957
10217,Washington,1995,CO,32.608050847457626,47.061913331567794,-121.66609823569917
10218,Washington,1995,NO2,44.22222222222222,47.386111,-122.230278
10219,Washington,1995,Ozone,38.30608365019011,47.150799604562735,-121.44962442015209
10220,Washington,1995,PM10,24.78286384976526,46.686000670187795,-119.98517488262911
10221,Washington,1995,PM2.5,18.691056910569106,47.06248080487805,-121.48165268292684
10222,Washington,1995,SO2,48.369481765834934,48.137566530710174,-122.23956026295585
10223,Washington,1996,CO,32.06994219653179,47.057754792485554,-121.58022715606937
10224,Washington,1996,NO2,40.523809523809526,47.13714657142857,-122.28129114285714
10225,Washington,1996,Ozone,38.96059782608695,47.220067166440224,-121.66675417391303
10226,Washington,1996,PM10,25.697488584474886,46.706429922374426,-119.98401329680365
10227,Washington,1996,PM2.5,24.178343949044585,46.9972302611465,-121.50131235031847
10228,Washington,1996,SO2,44.55958549222798,48.13176991450777,-122.26375540932642
10229,Washington,1997,CO,33.32675044883303,47.016196879712744,-121.3652316696589
10230,Washington,1997,NO2,34.37662337662338,46.710086857142855,-122.43682799999999
10231,Washington,1997,Ozone,35.335112692763936,47.09142968327402,-121.81082243534993
10232,Washington,1997,PM10,27.17914691943128,46.878467740284364,-120.11512341327014
10233,Washington,1997,PM2.5,31.46829268292683,47.13487054146342,-121.53687292195123
10234,Washington,1997,SO2,40.618610747051115,48.144142023591094,-122.241588672346
10235,Washington,1998,CO,29.77946127946128,47.03642413468013,-121.34307903703704
10236,Washington,1998,NO2,34.98529411764706,46.873347264705885,-122.38436685294118
10237,Washington,1998,Ozone,36.53746097814776,47.1173071623309,-121.91146825806452
10238,Washington,1998,PM10,23.00657894736842,46.828452837719304,-119.95621650109649
10239,Washington,1998,PM2.5,28.372222222222224,46.90313527777778,-121.49090042222223
10240,Washington,1998,SO2,38.535928143712574,48.252370290419165,-121.9904164026946
10241,Washington,1999,CO,25.431506849315067,46.98582317318982,-121.34513073972603
10242,Washington,1999,NO2,39.83720930232558,47.386111,-122.230278
10243,Washington,1999,Ozone,34.19639744334689,47.268415753050554,-121.99141513131899
10244,Washington,1999,PM10,22.869077306733168,46.79730611970075,-119.53151187406485
10245,Washington,1999,PM2.5,47.286298568507156,47.207370830265845,-121.48404175153375
10246,Washington,1999,SO2,38.3910447761194,48.25695697910448,-121.98708111641791
10247,Washington,2000,CO,21.27433628318584,46.499490532743366,-121.23850025486728
10248,Washington,2000,NO2,40.666666666666664,47.386111,-122.230278
10249,Washington,2000,Ozone,33.23961038961039,47.42769964285714,-121.87743728246753
10250,Washington,2000,PM10,23.81180811808118,46.764277455104555,-119.47660300246002
10251,Washington,2000,PM2.5,47.36489252814739,47.37768070470829,-121.4101497988741
10252,Washington,2000,SO2,21.394736842105264,47.98997436842105,-122.95438260526316
10253,Washington,2001,CO,18.658536585365855,46.50341369817073,-120.64317815853659
10254,Washington,2001,NO2,39.85294117647059,47.386111,-122.230278
10255,Washington,2001,Ozone,34.94410361281527,47.56788805248807,-121.93185317450579
10256,Washington,2001,PM10,26.214626391096978,46.895459556438794,-119.40587529252782
10257,Washington,2001,PM2.5,40.323765786452356,47.17970615920398,-121.24335315154994
10258,Washington,2001,SO2,18.782608695652176,48.006295,-122.97395299999998
10259,Washington,2002,CO,23.00980392156863,46.6778297254902,-120.35645848529413
10260,Washington,2002,NO2,40.64102564102564,47.386111,-122.230278
10261,Washington,2002,Ozone,34.466001247660635,47.48896519525889,-122.02447044915783
10262,Washington,2002,PM10,25.919614147909968,46.86589409163987,-119.45765233601286
10263,Washington,2002,PM2.5,42.17600755667506,47.26763065554156,-121.090174863665
10264,Washington,2002,SO2,21.25,47.902931,-122.85000716666666
10265,Washington,2003,CO,20.294797687861273,46.64716497109826,-120.07375791907513
10266,Washington,2003,NO2,27.647058823529413,47.958396029411766,-122.29025205882351
10267,Washington,2003,Ozone,43.23289315726291,47.38189098139256,-121.89578528931573
10268,Washington,2003,PM10,32.981776765375855,46.5342221617312,-119.29407160136675
10269,Washington,2003,PM2.5,36.38659083074802,47.28410656670114,-120.71941254739745
10270,Washington,2003,SO2,68.11764705882354,48.134441941176476,-122.46839094117647
10271,Washington,2004,CO,19.518716577540108,46.16104745989305,-121.30892956684492
10272,Washington,2004,NO2,26.029850746268657,48.04336214925373,-122.29915629850746
10273,Washington,2004,Ozone,37.441097724230254,47.39754531191433,-121.8600812188755
10274,Washington,2004,PM10,29.15357142857143,46.48333759642857,-119.07500061428571
10275,Washington,2004,PM2.5,35.516326821617,47.210003293882785,-120.60442090075574
10276,Washington,2004,SO2,35.27272727272727,48.29021322727272,-122.44842227272726
10277,Washington,2005,CO,20.770642201834864,45.74152973394495,-122.37765236697248
10278,Washington,2005,NO2,27.346938775510203,48.03400404081633,-122.29817559183672
10279,Washington,2005,Ozone,35.730899830220714,47.41333675127334,-121.63494426994906
10280,Washington,2005,PM10,28.438388625592417,46.37499063981042,-118.94341346445498
10281,Washington,2005,PM2.5,33.63428867851122,47.24400376073142,-120.72191201400597
10282,Washington,2005,SO2,49.142857142857146,48.26390157142857,-122.32226828571427
10283,Washington,2006,CO,14.98360655737705,46.182748852459014,-121.23365983606558
10284,Washington,2006,NO2,25.5,47.8981555,-122.28393899999999
10285,Washington,2006,Ozone,40.31245339299031,47.439948278896345,-121.81735439149888
10286,Washington,2006,PM10,29.252747252747252,46.44749761172161,-118.72862432600733
10287,Washington,2006,PM2.5,34.09780490972854,47.201113333030264,-120.65074903312119
10288,Washington,2006,SO2,44.142857142857146,48.4102,-122.3376
10289,Washington,2007,CO,18.3,47.69978,-117.42635
10290,Washington,2007,NO2,47.93333333333333,48.4102,-122.3376
10291,Washington,2007,Ozone,36.33709817549956,47.494619079930494,-122.03825434404865
10292,Washington,2007,PM10,26.738170347003155,46.56733382649842,-118.84735838485805
10293,Washington,2007,PM2.5,32.32234973298489,47.242533403363254,-120.49286454834677
10294,Washington,2007,SO2,75.5,48.2395185,-122.319713
10295,Washington,2008,CO,17.0,47.69978,-117.42635
10296,Washington,2008,NO2,80.05882352941177,48.4102,-122.3376
10297,Washington,2008,Ozone,35.39247311827957,47.467823069892475,-122.04097415232974
10298,Washington,2008,PM10,36.9054054054054,46.606702058558554,-118.84248907207207
10299,Washington,2008,PM2.5,31.734456389227528,47.23149050925413,-120.46464609254129
10300,Washington,2008,SO2,54.75,47.64213325,-122.2571085
10301,Washington,2009,CO,17.6,47.69978,-117.42635
10302,Washington,2009,NO2,23.0,48.4102,-122.3376
10303,Washington,2009,Ozone,37.61162079510704,47.47692878797146,-121.83187274923547
10304,Washington,2009,PM10,31.520491803278688,46.821769872950824,-118.80582913934425
10305,Washington,2009,PM2.5,31.428868917141603,47.232056541538796,-120.53572238502849
10306,Washington,2009,SO2,71.0,47.386111,-122.230278
10307,Washington,2010,CO,9.75,47.69978,-117.42635
10308,Washington,2010,NO2,41.666666666666664,48.4102,-122.3376
10309,Washington,2010,Ozone,34.07473309608541,47.593753116014234,-121.95533834234875
10310,Washington,2010,PM10,27.00729927007299,46.84590993430657,-118.74015091240877
10311,Washington,2010,PM2.5,26.397083195227047,47.17872870710419,-120.44984421688213
10312,Washington,2010,SO2,39.0,47.386111,-122.230278
10313,Washington,2011,CO,14.25,47.69978,-117.42635
10314,Washington,2011,NO2,29.59375,48.4102,-122.3376
10315,Washington,2011,Ozone,34.23306627822287,47.56100806919155,-121.91290440495267
10316,Washington,2011,PM10,27.354243542435423,46.82960201845019,-118.77235171217713
10317,Washington,2011,PM2.5,28.336378168531628,47.15472720027403,-120.57673101404431
10318,Washington,2011,SO2,35.0,47.386111,-122.230278
10319,Washington,2012,CO,11.5,47.69978,-117.42635
10320,Washington,2012,NO2,32.84848484848485,48.4102,-122.3376
10321,Washington,2012,Ozone,36.030595813204506,47.57943553381642,-121.86818750402577
