state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,yeildpercol,CO,NO2,Ozone,PM10,PM2.5,SO2
Oregon,45000.0,57.0,2565000.0,2026000.0,0.8,2052000.0,1999,,27.11478260869565,25.565217391304348,37.52418096723869,24.808252427184467,40.83653846153846,
Pennsylvania,28000.0,60.0,1680000.0,790000.0,0.76,1277000.0,1999,,23.4,34.59061200237671,67.27190812720848,73.875,58.02127659574468,61.92972742759795
South Dakota,224000.0,104.0,23296000.0,13046000.0,0.6,13978000.0,1999,,,,34.610619469026545,29.641255605381165,39.020833333333336,
Tennessee,8000.0,51.0,408000.0,106000.0,1.3,530000.0,1999,,28.41414141414141,33.59219858156028,78.37862032648762,30.26829268292683,60.530901722391086,53.115674769488685
Texas,108000.0,81.0,8748000.0,2799000.0,0.64,5599000.0,1999,,42.41666666666666,42.131832797427656,54.12679180887372,41.83076923076923,46.764818355640536,60.04160475482912
Utah,26000.0,45.0,1170000.0,433000.0,0.68,796000.0,1999,,31.214285714285715,46.128644939965696,62.07429718875502,44.84397163120568,42.99216710182768,28.11111111111111
Vermont,6000.0,66.0,396000.0,222000.0,0.63,249000.0,1999,,19.6,26.524926686217007,51.16935483870968,16.09090909090909,42.255208333333336,38.25806451612903
Virginia,7000.0,35.0,245000.0,86000.0,1.17,287000.0,1999,,14.501639344262296,32.57946768060837,68.08873639375295,21.352331606217614,54.42252252252252,27.47632711621234
Washington,52000.0,50.0,2600000.0,1170000.0,0.6,1560000.0,1999,,25.431506849315067,39.83720930232558,34.19639744334689,22.869077306733168,47.28629856850716,38.3910447761194
West Virginia,6000.0,39.0,234000.0,152000.0,1.09,255000.0,1999,,11.9,,66.21095890410959,31.44736842105263,59.18311874105866,69.64285714285714
Wisconsin,80000.0,75.0,6000000.0,4560000.0,0.68,4080000.0,1999,,12.620689655172416,38.58461538461538,54.27097860062515,29.65714285714286,51.05428571428571,32.96951219512195
Wyoming,37000.0,72.0,2664000.0,746000.0,0.61,1625000.0,1999,,,,53.22264150943396,25.1399647887324,30.766949152542374,
Alabama,16000.0,78.0,1248000.0,187000.0,0.59,736000.0,2000,,88.5,22.0,66.22946058091286,28.21192052980133,61.51930355791068,41.238461538461536
Arizona,40000.0,59.0,2360000.0,1322000.0,0.73,1723000.0,2000,,48.0,74.91228070175438,59.95111386138614,43.99632352941177,35.02637889688249,66.85276073619632
Arkansas,52000.0,93.0,4836000.0,3337000.0,0.57,2757000.0,2000,,22.0,42.5,51.72212230215828,21.0,53.80151843817787,30.657243816254415
California,440000.0,70.0,30800000.0,11396000.0,0.59,18172000.0,2000,,30.19391634980989,40.40987124463519,61.38704198010192,108.135593220339,73.00567031186715,75.13812154696133
Colorado,29000.0,60.0,1740000.0,957000.0,0.62,1079000.0,2000,,25.45299145299145,53.43609022556391,51.15428190603132,25.872608695652172,35.236031927023944,61.532467532467535
Florida,232000.0,105.0,24360000.0,2923000.0,0.54,13154000.0,2000,,33.93478260869565,40.4245283018868,50.91495036301674,21.694915254237287,50.06691449814127,47.9117849758787
Georgia,55000.0,57.0,3135000.0,376000.0,0.63,1975000.0,2000,,,31.011494252873565,67.71286831028262,23.05,61.542257515598415,28.66593886462882
Hawaii,7000.0,112.0,784000.0,125000.0,0.82,643000.0,2000,,14.3125,20.5,22.69575471698113,23.263707571801568,28.88,90.90076335877863
Idaho,100000.0,47.0,4700000.0,2679000.0,0.52,2444000.0,2000,,21.906015037593985,31.783783783783782,45.34383954154728,24.80820895522388,38.34250343878955,41.84710017574693
Illinois,8000.0,61.0,488000.0,146000.0,1.17,571000.0,2000,,22.17391304347826,42.77685950413223,41.20765832106039,27.355704697986575,61.69795609386828,51.52043596730245
Indiana,8000.0,65.0,520000.0,286000.0,1.03,536000.0,2000,,18.417910447761194,42.66419294990724,54.81513575967649,25.36190476190476,61.51588170865279,49.971974004874085
Iowa,30000.0,67.0,2010000.0,1206000.0,0.68,1367000.0,2000,,20.384615384615383,28.0,47.82376081825334,31.721337579617835,48.32237871674492,33.86712485681558
Kansas,15000.0,68.0,1020000.0,520000.0,0.91,928000.0,2000,,28.40909090909091,38.123711340206185,52.584848484848486,23.91584158415841,49.7200956937799,44.21052631578947
Kentucky,4000.0,48.0,192000.0,54000.0,1.35,259000.0,2000,,5.972727272727273,28.471890971039183,55.19526730937774,24.43434343434344,58.81338289962825,48.14415322580645
Louisiana,43000.0,94.0,4042000.0,1334000.0,0.52,2102000.0,2000,,33.0,36.427350427350426,55.579590056694286,39.333333333333336,51.88144072036018,69.65193370165746
Maine,11000.0,21.0,231000.0,143000.0,0.75,173000.0,2000,,,25.03048780487805,36.972420837589375,23.43434343434344,21.681818181818183,14.255250403877222
Maryland,6000.0,46.0,276000.0,52000.0,1.14,315000.0,2000,,9.333333333333334,36.4054054054054,54.20975783475784,27.5,58.05390539053906,42.94202898550725
